2.100, -183.017, 77.995,-1.279, 1.471, 1.755, 0.284,1.109, -181.348,76.653, -1.267, 1.951, 0.050, 0.064
2.150, -182.993, 77.925,-1.277, 1.484, 1.762, 0.278,1.118, -181.348,76.583, -1.240, 1.935, 0.048, 0.061
2.200, -182.969, 77.854,-1.276, 1.490, 1.769, 0.280,1.126, -181.348,76.510, -1.214, 1.918, 0.045, 0.059
2.250, -182.945, 77.784,-1.274, 1.496, 1.776, 0.280,1.135, -181.348,76.440, -1.188, 1.902, 0.044, 0.057
2.300, -182.921, 77.713,-1.273, 1.500, 1.783, 0.283,1.143, -181.348,76.370, -1.162, 1.886, 0.042, 0.055
2.350, -182.898, 77.641,-1.271, 1.506, 1.790, 0.284,1.150, -181.349,76.301, -1.136, 1.870, 0.041, 0.053
2.400, -182.874, 77.570,-1.270, 1.511, 1.797, 0.286,1.158, -181.349,76.231, -1.110, 1.854, 0.039, 0.051
2.450, -182.849, 77.498,-1.269, 1.518, 1.805, 0.287,1.165, -181.349,76.161, 1.084, 1.838, 0.038, 0.026
2.500, -182.826, 77.425,-1.268, 1.525, 1.812, 0.288,1.172, -181.349,76.082, -1.059, 1.823, 0.037, 0.049
2.550, -182.802, 77.353,-1.267, 1.532, 1.819, 0.287,1.179, -181.350,76.012, -1.033, 1.807, 0.036, 0.047
2.600, -182.777, 77.280,-1.265, 1.539, 1.826, 0.287,1.186, -181.350,75.943, -1.006, 1.792, 0.034, 0.045
2.650, -182.752, 77.207,-1.264, 1.546, 1.834, 0.288,1.193, -181.350,75.873, 0.980, 1.777, 0.033, 0.022
2.700, -182.728, 77.133,-1.264, 1.554, 1.841, 0.287,1.200, -181.350,75.793, -0.954, 1.761, 0.032, 0.043
2.750, -182.703, 77.059,-1.263, 1.561, 1.849, 0.288,1.206, -181.350,75.724, -0.928, 1.746, 0.032, 0.042
2.800, -182.678, 76.985,-1.261, 1.568, 1.856, 0.288,1.213, -181.351,75.654, 0.901, 1.731, -0.064, -0.074
2.850, -182.656, 76.910,-1.263, 1.573, 1.864, 0.291,1.219, -181.351,75.574, -0.881, 1.716, -0.063, -0.053
2.900, -182.634, 76.834,-1.264, 1.581, 1.871, 0.290,1.225, -181.351,75.498, -0.860, 1.701, -0.062, -0.052
2.950, -182.611, 76.758,-1.266, 1.588, 1.879, 0.291,1.231, -181.351,75.418, -0.840, 1.687, -0.061, -0.051
3.000, -182.589, 76.681,-1.267, 1.597, 1.887, 0.290,1.238, -181.351,75.339, -0.819, 1.672, -0.060, -0.051
3.050, -182.567, 76.605,-1.268, 1.604, 1.894, 0.290,1.244, -181.352,75.269, 0.798, 1.658, -0.059, -0.068
3.100, -182.545, 76.527,-1.270, 1.612, 1.902, 0.290,1.250, -181.352,75.190, -0.779, 1.644, -0.057, -0.048
3.150, -182.523, 76.449,-1.272, 1.619, 1.909, 0.290,1.255, -181.352,75.110, -0.758, 1.630, -0.056, -0.047
3.200, -182.501, 76.371,-1.273, 1.627, 1.917, 0.290,1.261, -181.352,75.030, -0.737, 1.616, -0.055, -0.047
3.250, -182.478, 76.293,-1.274, 1.634, 1.925, 0.291,1.267, -181.353,74.951, -0.717, 1.602, -0.054, -0.046
3.300, -182.456, 76.214,-1.275, 1.642, 1.933, 0.291,1.273, -181.353,74.871, -0.696, 1.588, -0.053, -0.045
3.350, -182.434, 76.134,-1.277, 1.649, 1.941, 0.292,1.278, -181.353,74.792, -0.675, 1.575, -0.052, -0.044
3.400, -182.411, 76.055,-1.278, 1.657, 1.949, 0.292,1.284, -181.353,74.712, -0.654, 1.561, -0.051, -0.044
3.450, -182.389, 75.975,-1.279, 1.664, 1.957, 0.293,1.289, -181.353,74.632, -0.633, 1.548, -0.118, -0.111
3.500, -182.368, 75.894,-1.282, 1.670, 1.965, 0.295,1.295, -181.354,74.553, 0.615, 1.534, -0.116, -0.123
3.550, -182.349, 75.813,-1.285, 1.675, 1.973, 0.297,1.300, -181.354,74.464, -0.600, 1.521, -0.113, -0.106
3.600, -182.329, 75.731,-1.288, 1.685, 1.982, 0.296,1.305, -181.354,74.384, -0.584, 1.508, -0.111, -0.104
3.650, -182.309, 75.648,-1.291, 1.693, 1.990, 0.296,1.311, -181.354,74.305, 0.568, 1.495, -0.108, -0.114
3.700, -182.289, 75.566,-1.294, 1.703, 1.998, 0.295,1.316, -181.355,74.215, -0.552, 1.483, -0.105, -0.099
3.750, -182.270, 75.482,-1.297, 1.711, 2.006, 0.295,1.321, -181.355,74.136, 0.537, 1.470, -0.102, -0.108
3.800, -182.250, 75.399,-1.300, 1.720, 2.014, 0.294,1.327, -181.355,74.046, -0.521, 1.457, -0.100, -0.094
3.850, -182.231, 75.315,-1.303, 1.728, 2.023, 0.296,1.332, -181.355,73.967, 0.505, 1.445, -0.097, -0.103
3.900, -182.212, 75.230,-1.306, 1.736, 2.031, 0.295,1.337, -181.355,73.877, -0.489, 1.433, -0.095, -0.089
3.950, -182.192, 75.145,-1.308, 1.743, 2.040, 0.297,1.342, -181.356,73.787, -0.473, 1.421, -0.092, -0.087
4.000, -182.173, 75.060,-1.311, 1.752, 2.048, 0.296,1.347, -181.356,73.708, 0.457, 1.409, -0.090, -0.096
4.050, -182.154, 74.974,-1.314, 1.759, 2.057, 0.298,1.352, -181.356,73.618, -0.442, 1.397, -0.136, -0.131
4.100, -182.136, 74.887,-1.317, 1.766, 2.066, 0.300,1.357, -181.356,73.529, -0.428, 1.385, -0.134, -0.129
4.150, -182.119, 74.800,-1.321, 1.773, 2.074, 0.301,1.362, -181.357,73.447, 0.416, 1.373, -0.130, -0.135
