-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.050
-183.800, 80.200, 0.000,  0.100
-183.800, 80.200, -0.012,  0.150
-183.800, 80.198, 0.036,  0.200
-183.800, 80.197, 0.025,  0.250
-183.798, 80.190, 0.172,  0.300
-183.791, 80.174, 0.363,  0.350
-183.778, 80.148, 0.557,  0.400
-183.756, 80.114, 0.739,  0.450
-183.729, 80.073, 0.870,  0.500
-183.698, 80.028, 0.971,  0.550
-183.667, 79.977, 1.142,  0.600
-183.639, 79.917, 1.263,  0.650
-183.611, 79.856, 1.315,  0.700
-183.583, 79.794, 1.327,  0.750
-183.554, 79.732, 1.326,  0.800
-183.524, 79.671, 1.317,  0.850
-183.495, 79.610, 1.313,  0.900
-183.464, 79.550, 1.310,  0.950
-183.433, 79.490, 1.314,  1.000
-183.402, 79.431, 1.318,  1.050
-183.370, 79.371, 1.327,  1.100
-183.337, 79.311, 1.331,  1.150
-183.304, 79.251, 1.337,  1.200
-183.270, 79.191, 1.338,  1.250
-183.235, 79.132, 1.341,  1.300
-183.200, 79.072, 1.339,  1.350
-183.165, 79.014, 1.340,  1.400
-183.132, 78.953, 1.374,  1.450
-183.101, 78.890, 1.399,  1.500
-183.069, 78.826, 1.428,  1.550
-183.037, 78.760, 1.449,  1.600
-183.005, 78.695, 1.458,  1.650
-182.972, 78.629, 1.458,  1.700
-182.939, 78.564, 1.453,  1.750
-182.906, 78.499, 1.446,  1.800
-182.873, 78.435, 1.440,  1.850
-182.840, 78.371, 1.437,  1.900
-182.806, 78.307, 1.437,  1.950
-182.772, 78.243, 1.439,  2.000
-182.737, 78.180, 1.445,  2.050
-182.702, 78.116, 1.454,  2.100
-182.667, 78.052, 1.463,  2.150
-182.631, 77.987, 1.472,  2.200
-182.599, 77.920, 1.486,  2.250
-182.572, 77.851, 1.490,  2.300
-182.545, 77.781, 1.495,  2.350
-182.518, 77.711, 1.499,  2.400
-182.491, 77.641, 1.506,  2.450
-182.465, 77.570, 1.512,  2.500
-182.438, 77.499, 1.519,  2.550
-182.412, 77.427, 1.525,  2.600
-182.385, 77.355, 1.532,  2.650
-182.359, 77.283, 1.536,  2.700
-182.332, 77.211, 1.538,  2.750
-182.306, 77.139, 1.538,  2.800
-182.280, 77.066, 1.537,  2.850
-182.254, 76.994, 1.536,  2.900
-182.231, 76.921, 1.534,  2.950
-182.208, 76.847, 1.553,  3.000
-182.185, 76.771, 1.587,  3.050
-182.162, 76.693, 1.618,  3.100
-182.139, 76.615, 1.639,  3.150
-182.117, 76.535, 1.648,  3.200
-182.094, 76.456, 1.649,  3.250
-182.072, 76.376, 1.646,  3.300
-182.050, 76.297, 1.642,  3.350
-182.028, 76.218, 1.642,  3.400
-182.006, 76.138, 1.645,  3.450
-181.985, 76.058, 1.651,  3.500
-181.964, 75.978, 1.660,  3.550
-181.945, 75.897, 1.660,  3.600
-181.927, 75.815, 1.668,  3.650
-181.910, 75.733, 1.679,  3.700
-181.893, 75.650, 1.691,  3.750
-181.876, 75.566, 1.702,  3.800
-181.860, 75.482, 1.713,  3.850
-181.844, 75.397, 1.722,  3.900
-181.828, 75.312, 1.729,  3.950
-181.812, 75.226, 1.733,  4.000
-181.797, 75.140, 1.734,  4.050
-181.782, 75.055, 1.734,  4.100
-181.768, 74.969, 1.732,  4.150
-181.754, 74.883, 1.734,  4.200
-181.741, 74.796, 1.756,  4.250
-181.728, 74.708, 1.791,  4.300
-181.715, 74.618, 1.820,  4.350
-181.702, 74.526, 1.837,  4.400
-181.690, 74.435, 1.843,  4.450
-181.678, 74.343, 1.842,  4.500
-181.667, 74.252, 1.838,  4.550
-181.655, 74.160, 1.838,  4.600
-181.644, 74.069, 1.842,  4.650
-181.633, 73.977, 1.849,  4.700
-181.623, 73.885, 1.857,  4.750
-181.614, 73.792, 1.868,  4.800
-181.604, 73.698, 1.879,  4.850
-181.595, 73.604, 1.890,  4.900
-181.586, 73.509, 1.900,  4.950
-181.578, 73.414, 1.909,  5.000
-181.569, 73.318, 1.918,  5.050
-181.561, 73.222, 1.924,  5.100
-181.554, 73.126, 1.928,  5.150
-181.546, 73.030, 1.928,  5.200
-181.539, 72.934, 1.927,  5.250
-181.532, 72.837, 1.932,  5.300
-181.526, 72.740, 1.956,  5.350
-181.519, 72.641, 1.992,  5.400
-181.513, 72.540, 2.020,  5.450
-181.507, 72.438, 2.035,  5.500
-181.501, 72.337, 2.037,  5.550
-181.496, 72.235, 2.034,  5.600
-181.490, 72.134, 2.032,  5.650
-181.485, 72.032, 2.035,  5.700
-181.480, 71.930, 2.042,  5.750
-181.475, 71.828, 2.053,  5.800
-181.471, 71.725, 2.065,  5.850
-181.466, 71.621, 2.077,  5.900
-181.462, 71.517, 2.088,  5.950
-181.458, 71.412, 2.098,  6.000
-181.454, 71.307, 2.108,  6.050
-181.450, 71.201, 2.116,  6.100
-181.446, 71.095, 2.121,  6.150
-181.443, 70.989, 2.123,  6.200
-181.440, 70.883, 2.122,  6.250
-181.436, 70.777, 2.128,  6.300
-181.433, 70.669, 2.153,  6.350
-181.430, 70.560, 2.193,  6.400
-181.427, 70.449, 2.221,  6.450
-181.425, 70.338, 2.233,  6.500
-181.422, 70.226, 2.231,  6.550
-181.420, 70.115, 2.227,  6.600
-181.417, 70.004, 2.227,  6.650
-181.415, 69.892, 2.233,  6.700
-181.413, 69.780, 2.244,  6.750
-181.411, 69.667, 2.258,  6.800
-181.409, 69.554, 2.272,  6.850
-181.407, 69.440, 2.285,  6.900
-181.405, 69.325, 2.296,  6.950
-181.404, 69.210, 2.306,  7.000
-181.402, 69.095, 2.313,  7.050
-181.401, 68.979, 2.316,  7.100
-181.399, 68.863, 2.317,  7.150
-181.398, 68.747, 2.323,  7.200
-181.397, 68.630, 2.351,  7.250
-181.395, 68.511, 2.391,  7.300
-181.394, 68.390, 2.417,  7.350
-181.393, 68.269, 2.427,  7.400
-181.392, 68.148, 2.425,  7.450
-181.391, 68.027, 2.421,  7.500
-181.390, 67.906, 2.422,  7.550
-181.389, 67.785, 2.430,  7.600
-181.389, 67.663, 2.443,  7.650
-181.388, 67.540, 2.459,  7.700
-181.387, 67.416, 2.473,  7.750
-181.386, 67.292, 2.487,  7.800
-181.386, 67.168, 2.498,  7.850
-181.385, 67.042, 2.507,  7.900
-181.385, 66.917, 2.512,  7.950
-181.384, 66.791, 2.512,  8.000
-181.384, 66.666, 2.519,  8.050
-181.383, 66.539, 2.547,  8.100
-181.383, 66.410, 2.586,  8.150
-181.383, 66.280, 2.612,  8.200
-181.382, 66.148, 2.621,  8.250
-181.382, 66.018, 2.620,  8.300
-181.382, 65.887, 2.619,  8.350
-181.382, 65.756, 2.623,  8.400
-181.381, 65.624, 2.634,  8.450
-181.381, 65.492, 2.649,  8.500
-181.381, 65.359, 2.664,  8.550
-181.381, 65.225, 2.679,  8.600
-181.381, 65.091, 2.693,  8.650
-181.380, 64.956, 2.703,  8.700
-181.380, 64.821, 2.708,  8.750
-181.380, 64.685, 2.709,  8.800
-181.380, 64.550, 2.716,  8.850
-181.380, 64.413, 2.743,  8.900
-181.380, 64.274, 2.782,  8.950
-181.380, 64.134, 2.808,  9.000
-181.380, 63.993, 2.819,  9.050
-181.380, 63.852, 2.821,  9.100
-181.380, 63.711, 2.823,  9.150
-181.380, 63.570, 2.830,  9.200
-181.380, 63.428, 2.842,  9.250
-181.380, 63.286, 2.857,  9.300
-181.380, 63.142, 2.874,  9.350
-181.380, 62.998, 2.889,  9.400
-181.380, 62.853, 2.901,  9.450
-181.380, 62.708, 2.908,  9.500
-181.381, 62.562, 2.909,  9.550
-181.381, 62.417, 2.914,  9.600
-181.381, 62.270, 2.941,  9.650
-181.381, 62.122, 2.980,  9.700
-181.381, 61.972, 3.007,  9.750
-181.381, 61.821, 3.020,  9.800
-181.381, 61.670, 3.025,  9.850
-181.381, 61.518, 3.030,  9.900
-181.382, 61.366, 3.039,  9.950
-181.382, 61.214, 3.052, 10.000
-181.382, 61.061, 3.068, 10.050
-181.382, 60.907, 3.085, 10.100
-181.382, 60.752, 3.100, 10.150
-181.382, 60.597, 3.108, 10.200
-181.383, 60.442, 3.110, 10.250
-181.383, 60.286, 3.115, 10.300
-181.383, 60.129, 3.141, 10.350
-181.383, 59.971, 3.180, 10.400
-181.383, 59.811, 3.208, 10.450
-181.383, 59.650, 3.224, 10.500
-181.383, 59.488, 3.232, 10.550
-181.383, 59.326, 3.239, 10.600
-181.384, 59.164, 3.250, 10.650
-181.384, 59.001, 3.264, 10.700
-181.384, 58.838, 3.280, 10.750
-181.384, 58.673, 3.297, 10.800
-181.384, 58.508, 3.308, 10.850
-181.385, 58.342, 3.312, 10.900
-181.385, 58.177, 3.318, 10.950
-181.385, 58.010, 3.344, 11.000
-181.385, 57.841, 3.382, 11.050
-181.385, 57.671, 3.410, 11.100
-181.385, 57.500, 3.427, 11.150
